date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:05:18	1250/1250	---MCZ	404	error ('Not%20Found')	text/html	etag:1590330149-ssl-df	https://samuelowusu.netlify.app/robots.txt		(from )
04:05:19	42709/42709	---MCZ	200	added ('OK')	text/html	etag:%2260b156e7da733c6def0dfd9a624065e0-ssl-df%22	https://samuelowusu.netlify.app/	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/index.html	(from )
04:05:20	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1590330149-ssl-df	https://samuelowusu.netlify.app/site.webmanifest	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/site.webmanifest	(from https://samuelowusu.netlify.app/)
04:05:23	52064/52064	---M--	200	added ('OK')	image/jpeg	etag:%220c1fe4ad90e47dcf5cc6db3d54b9674c-ssl%22	https://aromalanil.me/art/home.jpg	C:/My%20Web%20Sites/MyPortfolio/aromalanil.me/art/home.jpg	(from https://samuelowusu.netlify.app/)
04:05:24	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1590330149-ssl-df	https://samuelowusu.netlify.app/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/favicon/apple-touch-icon.png	(from https://samuelowusu.netlify.app/)
04:05:25	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1590330149-ssl-df	https://samuelowusu.netlify.app/favicon/favicon-32x32.png	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/favicon/favicon-32x32.png	(from https://samuelowusu.netlify.app/)
04:05:25	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1590330149-ssl-df	https://samuelowusu.netlify.app/favicon/favicon-16x16.png	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/favicon/favicon-16x16.png	(from https://samuelowusu.netlify.app/)
04:05:29	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/MyPortfolio/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://samuelowusu.netlify.app/)
04:05:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/MyPortfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://samuelowusu.netlify.app/)
04:05:33	56/56	---M--	302	error ('Found')	text/plain	date:Sun,%2014%20Jun%202020%2003:30:00%20GMT	https://unpkg.com/balloon-css/balloon.min.css	C:/My%20Web%20Sites/MyPortfolio/unpkg.com/balloon-css/balloon.min.7.delayed	(from https://samuelowusu.netlify.app/)
04:05:34	8378/8378	---M-Z	200	added ('OK')	text/css	etag:W/%2220ba-KL/I4Xz88rU1ipki5ei+o28E8Yk%22	https://unpkg.com/balloon-css@1.1.0/balloon.min.css	C:/My%20Web%20Sites/MyPortfolio/unpkg.com/balloon-css@1.1.0/balloon.min.css	(from https://samuelowusu.netlify.app/)
04:05:35	1056/1056	---M-Z	200	added ('OK')	text/css	etag:bce7b5b16c599bce71c035ed1c02e4aafcfdf002-df	https://d33wubrfki0l68.cloudfront.net/css/cfae224ae264d327e45e119458cff5c785f191d7/assets/css/preloader.css	C:/My%20Web%20Sites/MyPortfolio/d33wubrfki0l68.cloudfront.net/css/cfae224ae264d327e45e119458cff5c785f191d7/assets/css/preloader.css	(from https://samuelowusu.netlify.app/)
04:05:36	689/689	---M--	200	added ('OK')	text/css	etag:01096b9ffc696ce943113e396f455dc45e9d3994	https://d33wubrfki0l68.cloudfront.net/css/8744b21e292c932a1c051bd57ae1015bd24873ad/assets/css/hamburger.css	C:/My%20Web%20Sites/MyPortfolio/d33wubrfki0l68.cloudfront.net/css/8744b21e292c932a1c051bd57ae1015bd24873ad/assets/css/hamburger.css	(from https://samuelowusu.netlify.app/)
04:05:37	15465/15465	---M-Z	200	added ('OK')	text/css	etag:af5c61fce7de3cafb171d50cdc6db5f3112af67f-df	https://d33wubrfki0l68.cloudfront.net/css/d12ef6da5cdfba7507aa1f14d60afb66b1930f83/assets/css/style.css	C:/My%20Web%20Sites/MyPortfolio/d33wubrfki0l68.cloudfront.net/css/d12ef6da5cdfba7507aa1f14d60afb66b1930f83/assets/css/style.css	(from https://samuelowusu.netlify.app/)
04:05:43	136349/136349	---M--	200	added ('OK')	image/jpeg	etag:43adcae12e6622ed2d07ec032bd2d8203e89e637	https://d33wubrfki0l68.cloudfront.net/c12b5d1a7b3e4853143fff9e3820a7da3e269fc7/19f67/assets/images/projects/tic_tac_toe.jpg	C:/My%20Web%20Sites/MyPortfolio/d33wubrfki0l68.cloudfront.net/c12b5d1a7b3e4853143fff9e3820a7da3e269fc7/19f67/assets/images/projects/tic_tac_toe.jpg	(from https://samuelowusu.netlify.app/)
04:05:46	175981/175981	---MCZ	200	added ('OK')	application/pdf	etag:%222f2b8975b998ee67e6865d50243e37b6-ssl-df%22	https://samuelowusu.netlify.app/assets/resources/owusu_samuel_cv.pdf	C:/My%20Web%20Sites/MyPortfolio/samuelowusu.netlify.app/assets/resources/owusu_samuel_cv.pdf	(from https://samuelowusu.netlify.app/)
